source_chain,old_source_address,old_address_as_cosmos,old_balance_micro,old_balance_phmn,distribution_status,will_receive_new_phmn_on_this_old_address,new_phmn_recipient_or_handling,reason,published_destination_note,tags,relation_notes,accounting_layer,accounting_note
juno,juno1gsrhz6vqgjyz9ar3tr7w4hzk5n6dtwt66hjtjyn0hqycje3pzpaq73395c,cosmos1gsrhz6vqgjyz9ar3tr7w4hzk5n6dtwt66hjtjyn0hqycje3pzpaqa5kkru,312890000,312.890000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1kfsf0p07a9unhnn3f0qv2vkcwyr8vuzxvjempy739e6ry5acgfeqdkfyuv,cosmos1kfsf0p07a9unhnn3f0qv2vkcwyr8vuzxvjempy739e6ry5acgfeqwnwhtg,180000000,180.000000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno10cf0pmy6crjdgyd6y5svzwuf59qfu3kqva63cghp82x8ccw3ytesgtpf4m,cosmos10cf0pmy6crjdgyd6y5svzwuf59qfu3kqva63cghp82x8ccw3ytestwx6zl,125000000,125.000000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1q0yn0r4q8h7d3qmtlq7mrxuyn6wc4g99p94hr4d47ftu09wtfkmqwlscpl,cosmos1q0yn0r4q8h7d3qmtlq7mrxuyn6wc4g99p94hr4d47ftu09wtfkmqd6htkm,110000000,110.000000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1ujl7hlglktdll3g8d3sttw83vw969ncwl3npzfaj7qplgzhhu92qdfdte4,cosmos1ujl7hlglktdll3g8d3sttw83vw969ncwl3npzfaj7qplgzhhu92qwv2cw3,63800000,63.800000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1ud8avxjwk5m97s8s5pqd0qhg0lyxqxefjzupyhrqvpq2002svfpq8urfuq,cosmos1ud8avxjwk5m97s8s5pqd0qhg0lyxqxefjzupyhrqvpq2002svfpqyey6ty,55000000,55.000000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno13k62fjqupyyhlxjt7adrfenzfpu2698d8emwvgkkjlxmj506gvfsf9hfe9,cosmos13k62fjqupyyhlxjt7adrfenzfpu2698d8emwvgkkjlxmj506gvfs2qs6wp,50000000,50.000000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1xt8lgs35qntfqts0r686c9t0whuw2g065er3qahzc7qq8wjnpntsq499ge,cosmos1xt8lgs35qntfqts0r686c9t0whuw2g065er3qahzc7qq8wjnpntsrszkla,50000000,50.000000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno15tv8ufpg8t7mke4rs66cqcg0x297y55numn2x6a8kz703reldalqg9w40e,cosmos15tv8ufpg8t7mke4rs66cqcg0x297y55numn2x6a8kz703reldalqtqfxca,49000000,49.000000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1vknye0x0uxd0ypmr28qreg36fvuyyyna0ve8a7lrx2lepl4ehscsapfyvf,cosmos1vknye0x0uxd0ypmr28qreg36fvuyyyna0ve8a7lrx2lepl4ehscs7ywhmd,13000000,13.000000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno13h4dye7tls2h662h4lhmyrm7dce47am8h70p3thhyxh8vr5hyljqc3a6sv,cosmos13h4dye7tls2h662h4lhmyrm7dce47am8h70p3thhyxh8vr5hyljqm56f8g,2500000,2.500000,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
juno,juno1gs3hkuvjaexu52u9s65e8wj5he753dl4l9yn6vew7hszvxhdg6sqanluwc,cosmos1gs3hkuvjaexu52u9s65e8wj5he753dl4l9yn6vew7hszvxhdg6sq7kc0eu,916671,0.916671,rerouted_to_subdao,no,Strategic SubDAO treasury,Old treasury/SubDAO/core-team source address. New PHMN will not be sent to this old address; amount is rerouted to the listed new SubDAO Cosmos treasury.,Do not distribute new PHMN to the old treasury address; reroute this amount to the new destination Cosmos treasury.,,,juno_holder_non_escrow,Counted directly. Juno ICS20 escrow rows are excluded and replaced by destination voucher ownership.
